NOME|RTTTL
007Theme|007Theme:d=4,o=6,b=125:8c5,16d5,16d5,8d5,d5,8c5,8c5,8c5,16d_5,16d_5,8d_5,d_5,8d5,8d5,8d5,8c5,16d5,16d5,8d5,d5,8c5,8c5,8c5,8c5,16d_5,16d_5,8d_5,d_5,8d5,8c_5,8c5,8c,b,8g,8f,g
00brahim|00brahim:d=4,o=6,b=112:16d.5,32g_5,a.5,32d7,16p,16d,16d5,16d5,16d5,8a5,32c7,16p,16c,16p,16c5,8a_5,16a_5,16a_5,16a_5,16a5,16p,8g.5
03Bonnie|03Bonnie:d=4,o=5,b=180:32c6,16p,32c6,16p,8c.6,16p,32c6,16p,32c6,16p,16c.6,32p,8b,8p,8b,8p,8b.,16p,32d6,16p,16e,16p,16e.,8p,32p,16e.,32p,8b.,16p,8a,p,32a6,16p,16a6,16p,16a6,16p,16a6,16p,16a6,16p,16a6,16p,16d6,16p,16c6,16p,16a,16p,8f6,8p,8f.6,16p,1e6,8p,32b,32p,32g,32p,1e,32p,16d.6,32p,16d.6,32p,8c6,1b,32p,16a.,32p,16c.6,32p,16d6
03Bonnie|03Bonnie:d=4,o=5,b=180:c6,8c6,c6,8b,8b,b,8a,a.,8p,e,8p,8e,8e,b,8a,8p,8p,8e,8p,8e,b,a,8p,8c6,8c6,8c6,c6,8b,8b,b,8a,a.,8p,e,8p,8e,8e,b,8a,8p,8p,8e,8p,8e,b,8a,p,c6,8c6,c6,8b,8b,b,8a,a.,8p,e,8p,8e,8e,b,8a,8p,8p,8e,8p,8e,b,a,8p,8c6,8c6,8c6,c6,8b,8b,b,8a,a.,8p,e,8p,8e,8e,b,8a,8p,8p,8e,8p,8e,b,8a,8p
03Bonnie|03Bonnie:d=4,o=5,b=90:8c6,16c6,8c6,16b,16b,8b,16a,8a,8p,16f,8e,16e,16e,8b,8a,16p,16e,16e,16e,8b,8a,16p,8c7,16c7,8c7,16b6,16b6,8b6,16a6,8a6,8p,16f6,8e6,16e6,16e6,8b6,8a6,16p,16e6,16e6,16e6,8b6,8a6
1,2,3Sup|1,2,3Sup:d=4,o=5,b=125:16f6,16f#6,8f6,8d#6,8f6,8d#6,8d6,d6,16d6,16d#6,8d6,8b,8a#,8g#,a#,8p,16f6,16f#6,8f6,8d#6,8f6,8d#6,8d6,d6,16d6,16d#6,8d6,8b,8a#,8g#,a#,8p,16a#,16a,8a#,8b,8a#,8b,8d6,8d#6,8d6,8d#6,8f6,8d#6,8d6,8b,a#
1,2Step|1,2Step:d=4,o=5,b=112:g,8d#,8c,g,d#,8g,8g,8g,8g,8g,8f,8g,8g#,8p,8g#,8g#,8g#,8g#,8g#,g#,8g#,8g#,8g#,8g#,a#,8g#,16g#,16g,8c6,8c6,8c,8c,8c,8c,8c,8c,8c6,8c6,8c,8c,8c,8c,c,8c6,8c6,8c,8c,8c,8c,c,g#,g#,a#,8g#,16g#,g
100%|100%:d=4,o=6,b=120:8a_5,8a_5,8a_5,8a5,a5,8a5,8g5,8f5,g5,a5,f5,p,8c5,8c5,8d5,16f5,8f5,8d5,f5,8d5,8f5,8a_5,16a5,8g5,8f5,g5
1000Year|1000Year:d=4,o=5,b=125:c6,g#,c6,1g#,p,c6,a#,c6,8d#,8c,8c,2f.,8p,c6,g#,c6,1g#,p,c6,a#,c6,8d#,8c,8d#,2c#.,8p,c6,8g#,8g#,c6,p,c6,8g#,8g#,c6,p,c6,8g#,8g#,c6,p,c6,8g#,8g#,c6,p,c6,8g#,8g#,c6,p,c6,8g#,8g#,c6,p,c6,8g#,8g#,c6,2c.6
1001Arab|1001Arab:d=4,o=6,b=140:b5,g5,g5,b5,a5,8p,8b5,8c,8b5,8a5,8b5,b5,8g5,8e5,g5,b5,p,8a5,8a5,b5,a5,b5,g5,g5,b5,a5,8p,8b5,8c,8b5,8a5,8b5,b5,8p,8g5,8g5,8g5,8g5,8d,d,8g5,8g5,f_5,g5,8e.5,16e5,8p,8b5,8a_5,8b5,8a_5,8b5,8e.5,16e5,8p,8g5,f_5,p,8e.5,16e5,8p,8b5,8a_5,8b5,8a_5,8b5,d5,d5,d5,d5,8e.5,16e5,8p,8b5,8a_5,8b5,8a_5,8b5,8e.5,16e5,8p,8g5,f_5,p,8e.5,16e5,8p,8b5,8a_5,8b5,8a_5,8b5,1p,e5
10In1|10In1:d=4,o=5,b=160:8g6,8p,8a#6,8p,8f6,8p,8c7,8p,8a#6,8p,8a6,8p,8f6,8g6,8p,8a#6,8p,8a6,8f6,8p
112 - Its Over Now |112 - Its Over Now : d=4,o=5,b=112:8c6,8d6,8e6,8g6,f6,f6,8f6,8e6,8d6,8f6,8p,f.6,8f6,8e6,8d6,8c6,e6,e6,8e6,8d6,8c6,8d6,8p,e.6,8c6,8c6,8d6,8e6,8g6,f6,8f6,8f6,8f6,8e6,8d6,g6,f.6,8p,8c6,8d6,8d6,8e6,e.6,8p,8c6,8b,8c6,c6,
112 - Peaches And Cream |112 - Peaches And Cream : d=4,o=5,b=100:8b6,16p,8b.6,8g6,8e6,b6,8p,8b6,16p,8b.6,8g6,8d7,b6,8p,8b,16p,8b.,8f#6,8g6,a6,8p,8b,16p,8b.,8f#6,8g6,8a6,8f#6,8g6,8b6,16p,8b.6,8g6,8e6,b6,8p,8b6,16p,8b.6,8g6,8d7,b6,
1234GetW|1234GetW:d=8,o=5,b=112:a#4,c#,f,c#,c,g,p,2g#.,c,g,g#,a#4,c#,f,c#,c,g,p,4g#.,16p,g#,d#6,c#6,c6,a#,a#4,c#,f,c#,c,g,p,2g#.,c,g,g#,a#4,c#,f,c#,c,g,p,4g#.,16p,g#,d#6,c#6,c6,a#
123Super|123Super:d=8,o=7,b=125:16f,16f#,f,d#,f,d#,d,4d,16d,16d#,d,b6,a#6,g#6,4a#6,p,16f,16f#,f,d#,f,d#,d,4d,16d,16d#,d,b6,a#6,g#6,4a#6,p,16a#6,16a6,a#6,b6,a#6,b6,d,d#,d,d#,f,d#,d,b6,4a#6
1251|1251:d=4,o=6,b=160:g#,8e,f#,8e,g#,2f#,2e,f#,8d#,e,8d#,f#,2e,2d#,b,8g#,f#,g#,b.,g#,f#,g#,b,8g#,f#,g#,e.,g#,f#,g#,g#,8e,f#,8e,g#,2f#,2e,f#,8d#,e,8d#,f#,2e,2d#,b,8g#,f#,g#,b.,g#,f#,g#,b,8g#,f#,g#,e.,g#,f#,g#
12DaysOf|12DaysOf:d=8,o=5,b=140:d,d,4d,g,g,4g,f#,g,a,b,c6,a,4b,p,c6,4d6,e6,c6,b,g,4a,2g,d6,d6,4d6,g6,g6,4g6,f#6,g6,a6,b6,c7,a6,2b6,4d7,a,b,4c6,b6,c7,4d7,e7,c7,b6,g6,4a6,2g.6
12DaysOf|12DaysOf:d=8,o=5,b=140:d,d,4d,g,g,4g,f#,g,a,b,c6,a,4b,p,c6,4d6,e6,c6,b,g,4a,2g,d6,d6,4d6,g6,g6,4g6,f#6,g6,a6,b6,c7,a6,2b6,4d7,a,b,4c6,b6,c7,4d7,e7,c7,b6,g6,4a6,2g.6,f#,f#,4f#,b,b,4b
12DevAda|12DevAda:d=4,o=6,b=160:b5,b5,8f_,8e,d_,e,8e,8e,8c,8b5,a5,b5,b5,8f_,8e,d_,8e,8p,e,8p,8e,8e,8p,b5,b5,8f_,8e,d_,e,8e,8e,8c,8b5,a5,b5,b5,8f_,8e,d_,8e,8p,e,8p,8e,8e
12o'cloc|12o'cloc:d=4,o=6,b=125:1e5,1e5,1e5,1e5,1e5,1e5,1e5,1e5,1e5,1e5,1e5,1e5
12Questi|12Questi:d=8,o=6,b=180:f,g,2a,c,d,p,c,d,4p,f,g5,p,f,g,2a,c,d,p,c,d,4p,f,f5,p,f,g,2a,c,d,p,c,d,4p,f,d5,p,f,g,2a,c,d,p,c,d,4p,f,c5,p,f,g,2a
138Trek|138Trek:d=8,o=5,b=140:4f,e,16p,g,16p,g#,f,p,4f,e,16p,g,16pg#,f,p,4f,e,16p,g,16p,g#,f,p,4f,e,16p,2g
15|15:d=4,o=5,b=100:16c#7,8c#7,8c#7,8c#7,8c#7,8d#7,16d#7,8d#7,8d#7,16d#6,8c#7,8c#7,8g#7,8a#6,p,16e#6,16e#6,8f#6,16f#6,8f#6,16p,8f#6,8g#6,8g#6,8e#6,8e#6,8c#6
16b4,8e,2c#.,p,8e,8g,8p,8d#6,d.6,8g,8a#,2b.,8g,16a,16g,f#.,16b4,8d#,2e.|16b4,8e,2c#.,p,8e,8g,8p,8d#6,d.6,8g,8a#,2b.,8g,16a,16g,f#.,16b4,8d#,2e.
16e,16d,16c,16d,dwe-rock|16e,16d,16c,16d,dwe-rock:d=4,o=6,b=35:16b.4,16b4,16b4,16b.4,16c5,16d5,16e5,8d.5,16d5,16e5,16e5,16d5,8g5,8d5,16c5,8b.4,16b4,16c5,16d5,16a4,8a4,16a4,16b4,16c5,4g4,16g4,16a4,16g4,16b4,4d5,16d5,16d5,16e5,8g5,
1812Over|1812Over:d=4,o=6,b=225:8b5,8b5,8e.,8f#.,8g#.,8f#.,8e.,8f#.,g#.,e.,2e.,8b5,16b.5,8e.,8f#.,8g#.,8f#.,8e.,8f#.,g#.,e.,2e.,8c#,8c#,8f#.,8g#.,8f#.,8c#.,8a.5,8c#.,8f#.,8c#.,8a.5,8c#.,2f#.,8b5,16b5,8e.,8f#.,8e.,8b.5,8g#.5,8b.5,8e.,8c#.,8g#.5,8c#.,1e,8c#,8c#,8c#,2e,2c#.,8b5,16b.5,8b5,d#.,2b.5,16b.5,16b.5,8b5,32d,c#.,2e,2d#,2f#,e.,b,a#,a,g#,8g.,8f#.,8f.,8e.,d#,8d.,8c#.,32c,2b.5,1c,2c#.,2d#.,2e.,f#.,d#.,2e.,f#.,d#.,e.,d#.,e.,d#.,e.,d#.,e.,d#.,1e
1812Over|1812Over:d=4,o=6,b=355:8b5,8b5,e,f#,g#,f#,e,f#,2g#,2e,1e.,8b5,8b5,e,f#,g#,f#,e,f#,2g#,2e,1e.,8c#,8c#,f#,g#,f#,c#,a5,c#,f#,c#,a5,c#,1f#.,8b5,16b.5,e,f#,e,b5,g#5,b5,e,c#,g#5,c#,1e.,8c#.,8c#,8c#.,2e,1c#,8b.5,b5,8b.5,2d#,1b5,b5,b5,8b.5,2c#,2e,2d#,2f#,2e,b.,a#.,a.,g#.,2g,2f#,f.,2e,d#.,d.,2c#,1b5,1c,1c#,1d#,1e,2f#,2d#,1e,2f#,2d#,2e,2d#,2e,2d#,2e,2d#,2e,2d#,1e.
187 Lockdown - Kung Fu |187 Lockdown - Kung Fu : d=4,o=5,b=160:d6,8d6,8f6,d6,c6,b,b,8c6,8d6,8c6,8b,a,8a,8g,a,c6,a,a,8a,8c6,8d6,8c6,d6,8d6,8f6,d6,c6,b,b,8c6,8d6,8c6,8b,a,8a,8g,a,c6,a,
19-20001|19-20001:d=8,o=5,b=100:a#,a#,a#,a#,a#,16a#,a,4g.,g,f,g,g,16g,2g,e,g,g,16g,a#,g,16g,16f,g.,a#,g,g,16f,4g.,16g,16g,16g,a#,a#,a#,16a#,a,g.,g,g,f,g,g,16g,2g,f,g,g,16g,a#,g.,f,g,c6,a#,g,16f,4g.,f,g,c6,a#,g,16f,4g.
19-20002|19-20002:d=8,o=5,b=100:e,g,g,16g,a#,g,16g,16f,g.,a#,g,g,16f,4g.,16g,16g,16g,a#,a#,a#,16a#,a,g.,g,g,f,g,g,16g,2g,f,g,g,16g,a#,g.,f,g,c6,a#,g,16f,4g.,f,g,c6,a#,g,16f,4g.
19-20003|19-20003:d=8,o=5,b=120:16a,16c6,a,c6,a,c6,a,4p,16g,16b,g,b,g,b,g,4p,16a,16c6,a,c6,a,c6,a,4p,16g,16b,g,b,g,16p,a#,a#,a#,a#,a#,16a#,a,g.,p,g,f,g,g,16g,4g.,16p,g,e,g,g,16g,a#,g,16p,g,g,f,g,g,16g,4g
19-2000|19-2000:d=16,o=5,b=100:4a#,4a#,4a#,4a#,8a#.,4a,2g,p,4g,4e,4g,4g,8g,2g,4p,4g,4e,4g,4g.,4a,4g,8p,4a,8a.,4a#.,4g,4g,8g.,4g
1979|1979:d=4,o=5,b=140:2c6,p,8c6,2b,g,8p,2f,p,8p,8f,f,e,d,c,e,2d,8d,1d,8c,1c
1980|1980:d=4,o=6,b=100:32d,32d_,32e,32f,32f_,32g,32g_,32a,b,8a,16f_,16p,8e,16f_,8p,16p,16b,16p,2b.,32d,32d_,32e,32f,32f_,32g,32g_,32a,b,8a,16f_,16p,8e,16f_,8p,16p,16b,16p,2b.
1999|1999:d=4,o=6,b=80:16c#.,16c#.,16a#.,16a#.,16a#.,16a#.,16b.,8b.,16b.,16g#.,16g#.,16g#.,16g#.,16g#.,16f#.,2a#,16c#.5,16c#.5,16c#.5,16f#.5,16f#.5,8f#.5,16g#.5,16g#.5,16g#.5,16g#.5,16d#.5,16d#.5,8d#.5,16d#.5,16c#.5,2f#5
1MinuteM|1MinuteM:d=4,o=6,b=90:16a5,16a5,16a5,16e,16p,16f,16e,p,16e,16e,16f,16e,8p,16a5,16e,16p,16f,16e,8p,16e,16e,16f,16g,16f,16e
1NightSt|1NightSt:d=8,o=6,b=112:d,f,16d,16d,f,16d,c,16c,d,d,p,d,4d,p,16c,16c,d,p,f,d,f,16d,c,16c,d,d,p,4d,4d,p,c,d,d,f,d,d,f,4d.,p.,4a,4g,4f,e,4d
1StepClo|1StepClo:d=4,o=6,b=112:32p,16a5,16a5,8a5,8a5,8g,8f_5,8g5,f_5,8a5,16a5,16a5,8a5,8g5,8f_5,8d,c,32p,16a5,16a5,8a5,8a5,8g,8f_5,8g5,f_5,8a5,16a5,16a5,8a5,8g5,8f_5,8d,c
1Thing|1Thing:d=4,o=6,b=200:g5,c,8g.5,8g5,16p,8g5,g5,g5,8g5,8g5,p,g5,c,8g.5,8g5,16p,8g5,g5,g5,8g5,8g5,8g5,8g5,g5,c,8g.5,8g5,16p,8g5,g5,g5,8g5,8g5,p,g5,8g5,8f5,8p,8a_.5,16p,8g5,g5,g5,f5,a_5
2000|2000:d=4,o=6,b=100:8a_5,8a_5,8a_5,8a_5,8a_5,16a_5,8a5,g5,16p,8g5,8f5,8g5,8g5,16g5,2g5,16p,8e5,8g5,8g5,16g5,8a_5,8g5,16g5,16f5,8g.5,8a_5,8g5,8g5,16f5,g.5,16g5,16g5,16g5,8a_5,8a_5,8a_5,16a_5,8a5,8g.5,8g5,8g5,8f5,8g5,8g5,16g5,2g5,16p,8f5,8g5,8g5
2004Mega|2004Mega:d=4,o=6,b=140:16e7,16p,16e7,16p,16e7,16p,8p,8e.7,16p,d5,16g,16a_.,16g,16a,16a_,8d,16d7,8d5,16d7,8d5,8d_5,16d7,8d5,16d7,8d5,2d5,8c5,8p,32c5,32p,16p,8g5,8g_5,8p,32c,32p,16p,8d_5,p,32c,p,32p,8d_5,16c7,32p,8d5,32p,8c5
21Questi|21Questi:d=4,o=5,b=180:8f6,8g6,2a6,8c6,8d6,8p,8c6,8d6,p,8f6,8g,8p,8f6,8g6,2a6,8c6,8d6,8p,8c6,8d6,p,8f6,8f,8p,8f6,8g6,2a6,8c6,8d6,8p,8c6,8d6,p,8f6,8d,8p,8f6,8g6,2a6,8c6,8d6,8p,8c6,8d6,p,8f6,8c,8p,8f6,8g6,2a6
21Questi|21Questi:d=4,o=6,b=112:8f,8g,2a,8c,8d,8p,8c,8d,8p,8f,8p,8f,8g,8c,8d,8p,8c,8d,8p,8f,8p,8f,8g,2a,8c,8d,8p,8c,8d,8p,8f,8p,8f,8g,2a,p,8g,p,8g,p,8g,8p,8f,8g,2a
21Questi|21Questi:d=4,o=6,b=180:8f,8g,2a,8c,8d,8p,8c,8d,8p,8f,8p,8f,8g,2a,8c,8d,8p,8c,8d,8p,8f,8p,8f,8g,2a,8c,8d,8p,8c,8d,8p,8f,8p,8f,8g,2a,p,8g,p,8g,p,8g,8p,8f,8g,2a
21questi|21questi:d=4,o=6,b=225:d5,f5,a5,d5,a_5,d5,a5,f5,d5,f5,a5,a5,a_5,d5,a5,f5,d5,f5,a5,d5,c,d5,a_5,a5,d5,f5,a5,d5,c,c5,a_5,a5,d5,f5,a5,d5,a_5,d5,a5,f5,d5,f5,a5,d5,c,d5,a_5,a5
21Questi|21Questi:d=4,o=6,b=90:16b,16c_,d_,8p,16f_,16g_,16p,16f_,8g_,8b,16b,16c_,d_,8p,16f_,16g_,16p,16f_,8g_,8b,16b,16c_,d_,8p,16f_,16g_,16p,16f_,8g_,8b,16b,16c_,d_,16p,8b.,8c_.,16c_,16p
21Second|21Second:d=4,o=5,b=140:8g,8g,8p,8g,8g,8p,8g,8g,8p,8g,8g,8p,8g,g.,8d#,8d#,8p,8d#,8d#,8p,8d,8d,8p,8d,8d,8p,8f,8f,8f#,8f#,8g,8g,8p,8g,8g,8p,8g,8g,8p,8g,8g,8p,8g,g.,8d#,8d#,8p,8d#,8d#,8p
21Second|21Second:d=4,o=6,b=140:16d_,16d_.,16c_,16c_,16c_.,16d_,16c_,16b5,8g_.5,8p,16d_,16d_.,16c_,16c_,16c_.,16d_,16c_,16b5,8g_.5,8p,16b5,16b5,16f_,16f_,16f_,16f_,16d_.,16d_,16d_,16d_,16c_,16c_,16c_,16b.5,16b5,16b5,32p,16g_5,16b5,16b.5,16b5,16b5,16b5,16c_.,16b5,16b5,16b5,8b5
21Second|21Second:d=4,o=6,b=140:8g5,8g5,8p,8g5,8g5,8p,8g5,8g5,8p,8g5,8g5,8g5,8p,8g5,8g5,8a_5,8d_5,8d_5,8p,8d_5,8d_5,8p,8d5,8d5,8p,8d5,8d5,8p,8f5,8g5,8g5
24|24:d=32,o=6,b=355:f,f,f,8p,f,f,f,f,f,f,4p,b,b,b,b,b,b,p,b5,b5,b5,b5,b5,b5,b5,b5,b5,b5,b5,b5,16p,1p,1p
24|24:d=8,o=5,b=125:g,f#,2e.,f#,g,2a.,b,c6,2c6,1b,4p,g,f#,4e,4f#,4g,d6,b,4a,b,c6,4c6,b,g,1a,2p.,g,f#,2e.,f#,g,2a.,b,c6,2c6,1b,4p,g,f#,4e,4f#,4g,d6,b,4a,b,c6,4c6,b,g,1a
24Ctu|24Ctu:d=16,o=5,b=565:f6,p,f6,4p,p,f6,p,f6,2p,p,b6,p,b6,p,b6,p,b6,p,b,p,b,p,b,p,b,p,b,p,b,p,b,p,b,1p.,2p.,p,f6,p,f6,4p,p,f6,p,f6,2p,p,b6,p,b6,p,b6,p,b6,p,b,p,b,p,b,p,b,p,b,p,b,p,b,p,c
2Know|2Know:d=4,o=6,b=125:d,d,8d,8e,8f,8g,p,8f,8g,8f,8g,8f,d,d,8d,8e,8f,8g,p,8f,8g,8f,8a,8f,d,d,8d,8e,8f,8g,p,8f,8g,8f,8g,8f,g5,g5,8g5,8e,8f,8e,p,8e,8f,8e,8f,8e,d
2MonthsO|2MonthsO:d=4,o=5,b=285:16g#,8p.,16g#,8p.,16g#,16p,16g#7,16a7,a#7,a#7,8d#,p,8d#,p,16g#,8p.,16g#,8p.,16g#,16p,16g#7,16a7,a#7,a#7,8c,p,8c,p,8f,8p,8f,8p,8f,16g#7,16a7,a#7,a#7,8c,p,8c,p,f,f,8f,16g#7,16a7,a#7,a#7,8d#,p,8d#,p,g#,g#,8g#,16g#7,16a7,a#7,a#7,8d#,p,8d#,p,g#,g#,8g#,16g#7,16a7,a#7,a#7,c6,f6,g6,2g#6
2OfAmeri|2OfAmeri:d=4,o=5,b=100:8#d4,16#d4,16#d4,16#d1.,16#d4,8#c4,8d4,4#d4,8#d4,1p,8#d4,16#d4,16#d4,16#d1.,16#d4,8#c4,8d4,4#d4,8#d4,1p,8#d4,16#d4,16#d4,16#d1.,16#d4,8#c4,8d4,4#d4,8#d4,1p,8#d4,16#d4,16#d4,16#d1.,16#d4,8#c4,8d4,4#d4,8#d4,1p,8#d4,16#d4,16#d4,16#d1.,16#d4,8#c4,8d4,4#d4,8#d4
2Pac - All Eyez On Me |2Pac - All Eyez On Me : d=4,o=5,b=90:16f6,16e6,8d6,16a#,16a,2f,p,8a,8a,16g,8a,p,8p,16f6,16e6,8d6,16a#,16a,2f,p,8a,8a,16g,8a,
2Pac - California Love |2Pac - California Love : d=4,o=5,b=90:8g.6,16f6,8c#6,8d6,8f6,d.6,2p,8g,8a#,8d6,8d6,p,8p,8g,8g,16g,8f.,8g,2p,8g,16a#,16g,8d6,2d6,16g,8g.,g,2p,8g,8a#,8d6,2d.6,16g,16g,8g,8f,8g,p,8g,8c6,8c6,8a#,8a,g,p,8g,c6,8a#,8a,2g,
2Pac - Changes |2Pac - Changes : d=4,o=5,b=112:16a,16b,2c6,2b,8a,16p,8g,16p,g,8p,d,2g,8f#,16p,8e,16p,8d,2e,p,8p,16a,16b,2c6,2b,8a,16p,8g,16p,g,8p,d,g,8p,8g,8f#,16p,8e,16p,8d,2e,
2Pac - Dear Mama |2Pac - Dear Mama : d=4,o=5,b=90:a,8g,16f,p,8p,a,8a#,8a,8g,8f,8g,8a,8p,a,8g,16f,p,8p,a,8a#,8a,8g,8f,8g,8a,8p,a,8g,16f,p,8p,a,8a#,8a,8g,8f,16g,
2Pac - Hit Em Up |2Pac - Hit Em Up : d=4,o=5,b=200:a,8p,a,8g,a,p,a,c6,a,d6,8p,d6,8c6,d6,2p,8p,8d6,8d#6,e6,8p,e6,8d6,e6,p,c6,8b,8g,e,a.,a,8g,a,
2Pac - I Aint Mad At Cha |2Pac - I Aint Mad At Cha : d=4,o=5,b=80:16d6,16e6,16f6,16e6,8d6,8a,8p,f#6,2a6,8g6,16a6,16a#6,16a6,8g6,8e6,8c6,16c6,16d6,16e6,16d6,8c6,8g,8p,g6,a#6,a.6,8a6,g.6,
2Pac - Two Of Amerikas Most Wanted |2Pac - Two Of Amerikas Most Wanted : d=4,o=5,b=100:8d#,16d#,16d#,
2People|2People:d=4,o=5,b=125:f#,8e,8e,2f#,8p,8b.,8f#.,e,p,f#,8e,8e,2f#,8p,8b.,8f#.,e,p,f#,8e,8e,2f#,8p,8b.,8f#.,e,p,f#,8e,8e,2f#,p,f#,8e,8e,2f#,p,f#,8e,8e,2f#,p,f#,8e,8e,2f#
2Symbols|2Symbols:d=16,o=5,b=160:4d#6,4d#6,4d#6,4d#6,4d#6,4d#6,8g7,d#.6,8g7,4f7,4f7,4f7,4f7,4f7,4f7,f.7,8g7,4f7,4f7,4f7,4f7,4f7,4f7,f.7,8g7,4f7,4f7,4f7,4f7,8f7,8g7,4f.7,4d#6,4d#6,4d#6,4d#6,4d#6,4d#6,8g7,8d#7,g.7,4f7,4f7,4a#7,4f7,4f7,8f7,f.7,8g7
2Times|2Times:d=4,o=5,b=140:8a,8c6,8a,8c6,8a,8c6,16a,8p,16p,16a,8p,16p,8a,8a#,8a,8a#,16a,8p,16p,8a,8c6,8a,8c6,8a,8c6,16a,8p,16p,16a,8p,16p,8a,8a#,8a,8a#,16a
2Way|2Way:d=16,o=5,b=125:d6,p,c6,a#,p,g,4f,8p,a#,p,c6,a#,p,c6,a#,p,c6,a#,p,c6,d6,p,c6,a#,p,g,4f,8p,a#,p,c6,a#,p,c6,a#,p,c6,a#,p,c6,d6,p,c6,a#,p,g,4f,8p,a#,p,c6,a#,p,c6,a#,p,c6,a#,p,c6,d6,p,c6,a#,p,g,8f.,a#,p,c6,d6,p,c6,a#,p,g,8f,p,8c.6
